date;latitude;longitude;cluster_center_lat;cluster_center_lon;Country/Sea;Region;DAY/NIGHT;cluster_category;cluster_indicators;ndetection;cluster_number
2026-02-20;14.43549;48.16298;17.411167;51.885422;Yemen;Al Mahrah;DAY;others;C2H4_1:1,CO_3:1,HNO3_1:64;66;L3_1
2026-02-20;14.90561;48.26326;17.411167;51.885422;Yemen;Al Mahrah;DAY;others;C2H4_1:1,CO_3:1,HNO3_1:64;66;L3_1
2026-02-20;15.03805;-13.83907;19.324333;-12.7701;Mauritania;Adrar;DAY;fire_type_1;C2H4_1:4,CO2_2:1,CO_3:5,HCOOH_1:1,NH3_2:1,SO2_3:17;29;L3_2
2026-02-20;15.09132;48.91104;17.411167;51.885422;Yemen;Al Mahrah;DAY;others;C2H4_1:1,CO_3:1,HNO3_1:64;66;L3_1
2026-02-20;15.1919;48.32224;17.411167;51.885422;Yemen;Al Mahrah;DAY;others;C2H4_1:1,CO_3:1,HNO3_1:64;66;L3_1
2026-02-20;15.3682;51.0802;17.411167;51.885422;Yemen;Al Mahrah;DAY;others;C2H4_1:1,CO_3:1,HNO3_1:64;66;L3_1
2026-02-20;15.3758;48.36358;17.411167;51.885422;Yemen;Al Mahrah;DAY;others;C2H4_1:1,CO_3:1,HNO3_1:64;66;L3_1
2026-02-20;15.42892;49.7564;17.411167;51.885422;Yemen;Al Mahrah;DAY;others;C2H4_1:1,CO_3:1,HNO3_1:64;66;L3_1
2026-02-20;15.46707;49.56225;17.411167;51.885422;Yemen;Al Mahrah;DAY;others;C2H4_1:1,CO_3:1,HNO3_1:64;66;L3_1
2026-02-20;15.49217;47.72347;17.411167;51.885422;Yemen;Al Mahrah;DAY;others;C2H4_1:1,CO_3:1,HNO3_1:64;66;L3_1
2026-02-20;15.50672;50.29996;17.411167;51.885422;Yemen;Al Mahrah;DAY;others;C2H4_1:1,CO_3:1,HNO3_1:64;66;L3_1
2026-02-20;15.56134;49.01255;17.411167;51.885422;Yemen;Al Mahrah;DAY;others;C2H4_1:1,CO_3:1,HNO3_1:64;66;L3_1
2026-02-20;15.59945;49.7933;17.411167;51.885422;Yemen;Al Mahrah;DAY;others;C2H4_1:1,CO_3:1,HNO3_1:64;66;L3_1
2026-02-20;15.66197;48.4224;17.411167;51.885422;Yemen;Al Mahrah;DAY;others;C2H4_1:1,CO_3:1,HNO3_1:64;66;L3_1
2026-02-20;15.73877;49.05287;17.411167;51.885422;Yemen;Al Mahrah;DAY;others;C2H4_1:1,CO_3:1,HNO3_1:64;66;L3_1
2026-02-20;15.81092;50.36801;17.411167;51.885422;Yemen;Al Mahrah;DAY;others;C2H4_1:1,CO_3:1,HNO3_1:64;66;L3_1
2026-02-20;15.84765;50.18363;17.411167;51.885422;Yemen;Al Mahrah;DAY;others;C2H4_1:1,CO_3:1,HNO3_1:64;66;L3_1
2026-02-20;15.9918;49.3219;17.411167;51.885422;Yemen;Al Mahrah;DAY;others;C2H4_1:1,CO_3:1,HNO3_1:64;66;L3_1
2026-02-20;16.02905;-14.78297;19.324333;-12.7701;Mauritania;Adrar;DAY;fire_type_1;C2H4_1:4,CO2_2:1,CO_3:5,HCOOH_1:1,NH3_2:1,SO2_3:17;29;L3_2
2026-02-20;16.20913;49.15466;17.411167;51.885422;Yemen;Al Mahrah;DAY;others;C2H4_1:1,CO_3:1,HNO3_1:64;66;L3_1
2026-02-20;16.60207;48.62286;17.411167;51.885422;Yemen;Al Mahrah;DAY;others;C2H4_1:1,CO_3:1,HNO3_1:64;66;L3_1
2026-02-20;16.78601;48.66425;17.411167;51.885422;Yemen;Al Mahrah;DAY;others;C2H4_1:1,CO_3:1,HNO3_1:64;66;L3_1
2026-02-20;16.84563;52.82568;17.411167;51.885422;Yemen;Al Mahrah;DAY;others;C2H4_1:1,CO_3:1,HNO3_1:64;66;L3_1
2026-02-20;16.8784;49.87124;17.411167;51.885422;Yemen;Al Mahrah;DAY;others;C2H4_1:1,CO_3:1,HNO3_1:64;66;L3_1
2026-02-20;16.93615;-0.06126;17.938076;-0.754623;Mali;Gao;DAY;fire;HCOOH_1:27;27;L3_3
2026-02-20;16.9678;53.02476;17.411167;51.885422;Yemen;Al Mahrah;DAY;others;C2H4_1:1,CO_3:1,HNO3_1:64;66;L3_1
2026-02-20;16.97281;-0.24672;17.938076;-0.754623;Mali;Gao;DAY;fire;HCOOH_1:27;27;L3_3
2026-02-20;17.06247;-0.76836;17.938076;-0.754623;Mali;Gao;DAY;fire;HCOOH_1:27;27;L3_3
2026-02-20;17.07218;48.72321;17.411167;51.885422;Yemen;Al Mahrah;DAY;others;C2H4_1:1,CO_3:1,HNO3_1:64;66;L3_1
2026-02-20;17.08446;52.42002;17.411167;51.885422;Yemen;Al Mahrah;DAY;others;C2H4_1:1,CO_3:1,HNO3_1:64;66;L3_1
2026-02-20;17.14047;-0.20768;17.938076;-0.754623;Mali;Gao;DAY;fire;HCOOH_1:27;27;L3_3
2026-02-20;17.19501;-0.53554;17.938076;-0.754623;Mali;Gao;DAY;fire;HCOOH_1:27;27;L3_3
2026-02-20;17.19864;53.54142;17.411167;51.885422;Yemen;Al Mahrah;DAY;others;C2H4_1:1,CO_3:1,HNO3_1:64;66;L3_1
2026-02-20;17.23397;53.37871;17.411167;51.885422;Yemen;Al Mahrah;DAY;others;C2H4_1:1,CO_3:1,HNO3_1:64;66;L3_1
2026-02-20;17.25133;51.50786;17.411167;51.885422;Yemen;Al Mahrah;DAY;others;C2H4_1:1,CO_3:1,HNO3_1:64;66;L3_1
2026-02-20;17.25614;48.76462;17.411167;51.885422;Yemen;Al Mahrah;DAY;others;C2H4_1:1,CO_3:1,HNO3_1:64;66;L3_1
2026-02-20;17.33744;51.03183;17.411167;51.885422;Yemen;Al Mahrah;DAY;others;C2H4_1:1,CO_3:1,HNO3_1:64;66;L3_1
2026-02-20;17.34967;-13.17091;19.324333;-12.7701;Mauritania;Adrar;DAY;fire_type_1;C2H4_1:4,CO2_2:1,CO_3:5,HCOOH_1:1,NH3_2:1,SO2_3:17;29;L3_2
2026-02-20;17.44245;49.41957;17.411167;51.885422;Yemen;Al Mahrah;DAY;others;C2H4_1:1,CO_3:1,HNO3_1:64;66;L3_1
2026-02-20;17.4433;-0.14205;17.938076;-0.754623;Mali;Gao;DAY;fire;HCOOH_1:27;27;L3_3
2026-02-20;17.49491;-0.4687;17.938076;-0.754623;Mali;Gao;DAY;fire;HCOOH_1:27;27;L3_3
2026-02-20;17.50018;49.04909;17.411167;51.885422;Yemen;Al Mahrah;DAY;others;C2H4_1:1,CO_3:1,HNO3_1:64;66;L3_1
2026-02-20;17.53286;-0.66497;17.938076;-0.754623;Mali;Gao;DAY;fire;HCOOH_1:27;27;L3_3
